date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:01	62401/62401	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Jun%202022%2015:32:12%20GMT	https://demo.webtend.net/html/munfirm/index.html	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/index.html	(from )
22:27:02	89/89	---MCZ	200	added ('OK')	text/plain	date:Mon,%2012%20Jun%202023%2003:48:02%20GMT	https://demo.webtend.net/robots.txt		(from )
22:27:02	5506/5506	---M--	200	added ('OK')	image/png	date:Thu,%2019%20May%202022%2015:07:36%20GMT	https://demo.webtend.net/html/munfirm/assets/images/favicon.png	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/images/favicon.png	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:03	1935/1935	---MC-	200	added ('OK')	text/css	date:Sat,%2004%20Nov%202023%2016:57:03%20GMT	https://fonts.googleapis.com/css2?family=Mulish:wght@400;500;600;700&family=Oswald:wght@300;400;500;600;700&display=swap	E:/MunFirm/Arcelo/fonts.googleapis.com/css23d7c.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:03	1168/1168	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20May%202022%2014:07:52%20GMT	https://demo.webtend.net/html/munfirm/assets/css/flaticon.min.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/flaticon.min.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:03	173752/173752	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20May%202022%2018:50:48%20GMT	https://demo.webtend.net/html/munfirm/assets/css/fontawesome-5.14.0.min.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/fontawesome-5.14.0.min.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:03	160392/160392	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Dec%202021%2001:42:36%20GMT	https://demo.webtend.net/html/munfirm/assets/css/bootstrap-4.5.3.min.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/bootstrap-4.5.3.min.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:03	5260/5260	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:38:04%20GMT	https://demo.webtend.net/html/munfirm/assets/css/magnific-popup.min.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/magnific-popup.min.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:04	3076/3076	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:39:28%20GMT	https://demo.webtend.net/html/munfirm/assets/css/nice-select.min.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/nice-select.min.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:04	59675/59675	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:33:34%20GMT	https://demo.webtend.net/html/munfirm/assets/css/animate.min.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/animate.min.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:04	1346/1346	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:40:18%20GMT	https://demo.webtend.net/html/munfirm/assets/css/slick.min.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/slick.min.css	(from https://demo.webtend.net/html/munfirm/index.html)
22:27:04	166122/166122	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Jun%202022%2015:56:10%20GMT	https://demo.webtend.net/html/munfirm/assets/css/style.css	E:/MunFirm/Arcelo/demo.webtend.net/html/munfirm/assets/css/style.css	(from https://demo.webtend.net/html/munfirm/index.html)
